Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-5g79
82,1708881203645,"25/02/2024, 17:13:23",1708881203558,1,"25/02/2024, 18:13:23",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
83,1708881204130,"25/02/2024, 17:13:24",1708881204056,1,"25/02/2024, 18:13:24",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
84,1708881205646,"25/02/2024, 17:13:25",1708881205566,1,"25/02/2024, 18:13:25",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
85,1708881206129,"25/02/2024, 17:13:26",1708881206056,1,"25/02/2024, 18:13:26",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
86,1708881206842,"25/02/2024, 17:13:26",1708881206768,1,"25/02/2024, 18:13:26",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
87,1708881207336,"25/02/2024, 17:13:27",1708881207256,1,"25/02/2024, 18:13:27",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
88,1708881207842,"25/02/2024, 17:13:27",1708881207769,1,"25/02/2024, 18:13:27",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
89,1708881208338,"25/02/2024, 17:13:28",1708881208256,1,"25/02/2024, 18:13:28",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
90,1708881208887,"25/02/2024, 17:13:28",1708881208809,1,"25/02/2024, 18:13:28",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
91,1708881209381,"25/02/2024, 17:13:29",1708881209305,1,"25/02/2024, 18:13:29",143587,31,task-cjtc,,35489813,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,Stroop Task,5,DGS
