Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
33,1714456153754,30/04/2024 05:49:13,1714456153295,2,30/04/2024 07:49:13,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,17,1,1,Screen 1,button,continue_button,57101.299999952316,,,,,0,1,0,,,,,,Score,,,,
34,1714456171931,30/04/2024 05:49:31,1714456171489,2,30/04/2024 07:49:31,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,18,1,1,Screen 1,advancementZone,continue_button,18177.400000095367,,,,,0,1,0,,,,,,Ready.0,,,,
35,1714456172440,30/04/2024 05:49:32,1714456171984,2,30/04/2024 07:49:31,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,107,1,1,Screen 1,fixation,fixation,500.1000000000058,,,,,0,1,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
36,1714456173953,30/04/2024 05:49:33,1714456173520,2,30/04/2024 07:49:33,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,107,1,2,Screen 2,buttonb,response_keyboard,1496.7000000476837,,,green,1,1,0,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
37,1714456174447,30/04/2024 05:49:34,1714456174012,2,30/04/2024 07:49:34,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,104,2,1,Screen 1,fixation,fixation,499.3999999999942,,,,,0,1,0,,,,,1,Trials,REDred.jpg,red,1,0
38,1714456175318,30/04/2024 05:49:35,1714456174904,2,30/04/2024 07:49:34,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,104,2,2,Screen 2,buttona,response_keyboard,885.9000000953674,,,red,1,1,0,0,,,,,1,Trials,REDred.jpg,red,1,0
39,1714456175808,30/04/2024 05:49:35,1714456175397,2,30/04/2024 07:49:35,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,116,3,1,Screen 1,fixation,fixation,499.69999999998254,,,,,0,1,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
40,1714456176819,30/04/2024 05:49:36,1714456176391,2,30/04/2024 07:49:36,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,116,3,2,Screen 2,buttonb,response_keyboard,989.0999999046326,,,green,1,1,0,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
41,1714456177293,30/04/2024 05:49:37,1714456176879,2,30/04/2024 07:49:36,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,106,4,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,1,Trials,BLUEblue.jpg,blue,1,0
42,1714456177964,30/04/2024 05:49:37,1714456177532,2,30/04/2024 07:49:37,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,106,4,2,Screen 2,buttonb,response_keyboard,646.5,,,blue,1,1,0,0,,,,,1,Trials,BLUEblue.jpg,blue,1,0
43,1714456178442,30/04/2024 05:49:38,1714456178028,2,30/04/2024 07:49:38,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,96,5,1,Screen 1,fixation,fixation,499.79999999998836,,,,,0,1,0,,,,,1,Trials,REDred.jpg,red,1,0
44,1714456178967,30/04/2024 05:49:38,1714456178535,2,30/04/2024 07:49:38,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,96,5,2,Screen 2,buttona,response_keyboard,500.09999990463257,,,red,1,1,0,0,,,,,1,Trials,REDred.jpg,red,1,0
45,1714456179443,30/04/2024 05:49:39,1714456179029,2,30/04/2024 07:49:39,143587,32,task-hgsz,,37345592,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,,Stroop Task,5,Stroop ,spreadsheet_stroop_100,spreadsheet_stroop_100,102,6,1,Screen 1,fixation,fixation,500.20000000001164,,,,,0,1,0,,,,,1,Trials,GREENgreen.jpg,green,1,0
