Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
2,1711296355746,24/03/2024 16:05:55,1711299955746,1,24/03/2024 18:05:55,143587,32,task-iam7,,36393478,crar9,9856432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x800,1280x665,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,102.36000004768357,99.85999999999967,102.36000004768357,102.36000004768357,99.85999999999967,102.36000004768357,1,102.36000004768357,0,0,,Time Limit,screen,0,screen,dummy,
3,1711296355749,24/03/2024 16:05:55,1711299955749,1,24/03/2024 18:05:55,143587,32,task-iam7,,36393478,crar9,9856432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x800,1280x665,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712238923860,04/04/2024 13:55:23,1712246123860,2,04/04/2024 17:55:23,143587,32,task-iam7,,36740073,qgsl9,9856554,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x720,1280x585,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712238923944,04/04/2024 13:55:23,1712246123944,2,04/04/2024 17:55:23,143587,32,task-iam7,,36740073,qgsl9,9856554,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x720,1280x585,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,101.35599980926509,99.65599999999995,101.35599980926509,101.35599980926509,99.65599999999995,101.35599980926509,1,101.35599980926509,0,0,,Time Limit,screen,0,screen,dummy,
3,1712238923946,04/04/2024 13:55:23,1712246123946,2,04/04/2024 17:55:23,143587,32,task-iam7,,36740073,qgsl9,9856554,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x720,1280x585,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712515485712,07/04/2024 18:44:45,1712522685712,2,07/04/2024 22:44:45,143587,32,task-iam7,,36815875,hcqa8,9856430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x945,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712515485801,07/04/2024 18:44:45,1712522685801,2,07/04/2024 22:44:45,143587,32,task-iam7,,36815875,hcqa8,9856430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x945,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,97.80000004768362,97.09999999999991,97.80000004768362,97.80000004768362,97.09999999999991,97.80000004768362,1,97.80000004768362,0,0,,Time Limit,screen,0,screen,dummy,
3,1712515485802,07/04/2024 18:44:45,1712522685802,2,07/04/2024 22:44:45,143587,32,task-iam7,,36815875,hcqa8,9856430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x945,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1713117432422,14/04/2024 17:57:12,1713124632422,2,14/04/2024 21:57:12,143587,32,task-iam7,,37010194,finc3,9856553,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,2560x1440,2560x1253,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1713117432527,14/04/2024 17:57:12,1713124632527,2,14/04/2024 21:57:12,143587,32,task-iam7,,37010194,finc3,9856553,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,2560x1440,2560x1253,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,119.59400000000005,116.49400000000014,119.59400000000005,119.59400000000005,116.49400000000014,119.59400000000005,1,119.59400000000005,0,0,,Time Limit,screen,0,screen,dummy,
