Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer,TimedSection,listLength,,ItemNo
38,1723465334438,12/08/2024 12:22:14,1723465336418,2,12/08/2024 14:22:16,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,21,15,2,Screen 2,Zone2,timelimit_screen,1000.5999999999913,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">3</p>",,,4,,
39,1723465334725,12/08/2024 12:22:14,1723465336717,2,12/08/2024 14:22:16,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,22,16,1,Screen 1,fixation,fixation,299.70000000001164,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">8</p>",,,4,,
40,1723465335734,12/08/2024 12:22:15,1723465337725,2,12/08/2024 14:22:17,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,22,16,2,Screen 2,Zone2,timelimit_screen,999.8999999999942,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">8</p>",,,4,,
41,1723465337744,12/08/2024 12:22:17,1723465339726,2,12/08/2024 14:22:19,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,23,5,1,Screen 1,Zone2,response_text_entry,717.7999999988824,,Enter Key,9328,1,0,1,0,,,,,,Test_Forwards,,9238,9000,4,,F4_1
42,1723465338026,12/08/2024 12:22:18,1723465340018,2,12/08/2024 14:22:20,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,24,17,1,Screen 1,fixation,fixation,299.8000000000029,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">6</p>",,,4,,
43,1723465339041,12/08/2024 12:22:19,1723465341019,2,12/08/2024 14:22:21,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,24,17,2,Screen 2,Zone2,timelimit_screen,1000.5,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">6</p>",,,4,,
44,1723465339341,12/08/2024 12:22:19,1723465341318,2,12/08/2024 14:22:21,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,25,18,1,Screen 1,fixation,fixation,299.8000000000029,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">2</p>",,,4,,
45,1723465340360,12/08/2024 12:22:20,1723465342319,2,12/08/2024 14:22:22,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,25,18,2,Screen 2,Zone2,timelimit_screen,1000.5999999999913,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">2</p>",,,4,,
46,1723465340629,12/08/2024 12:22:20,1723465342619,2,12/08/2024 14:22:22,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,26,19,1,Screen 1,fixation,fixation,299.90000000000873,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,4,,
47,1723465341879,12/08/2024 12:22:21,1723465343620,2,12/08/2024 14:22:23,143587,32,task-2f5q,,39515665,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,,"1. Digit Span task (forward, backward)",7,Stroop ,ListA,ListA,26,19,2,Screen 2,Zone2,timelimit_screen,1000.1999999999971,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,4,,
